from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-30,11595565846783468104.222821204,2226
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-07,18591725240967937084.08953418,1653
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-01,9126554920369357045.143638851,1462
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-03,10753750668265524625.267665953,467
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-20,3637571643389244155.571862879,9539
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-14,6351838918864229765.01305483,1532
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-13,15850320151077643908.969210174,1494
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-23,8749499392254025044.722719141,2236
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-31,12976817141327482172.24355458,1823
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-04,10906289346290247316.84554363,2143
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-11,17906286559722735674.676524954,1623
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-17,11965951184347332576.617480136,1762
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-12,4039333992357071213.640922768,4985
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-11,5374685672756302521.008403361,1785
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-20,18682908540460230115.057528764,1999
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-24,7565345192375055285.272003538,2261
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-19,3190303518737289702.347938621,5409
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-13,10019487407876106194.690265487,1808
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-30,13655120074258957654.723127036,2456
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-23,4266339236355263157.894736842,3800
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-06,6951164253740340030.911901082,1941
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-11,4916091407204945672.536530536,5338
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-05,9650076876368676368.676368676,1443
